player_display_name,position,n_games,mu,sigma,wpa,war
Gabe Davis,WR,14,11.764287,7.696902,-0.003034973073867464,-0.0424896230341445
Christian Watson,WR,13,11.346154,9.7595415,-0.0037488603433497025,-0.04873518446354613
Hayden Hurst,TE,12,8.333333,4.1328626,-0.005099149719467511,-0.06118979663361013
A.J. Dillon,RB,16,10.26875,6.3830557,-0.003875238768565714,-0.062003820297051426
Sterling Shepard,WR,3,11.466667,2.5772512,-0.02223962595252088,-0.06671887785756264
Jameis Winston,QB,3,14.639999,5.7236586,-0.026796786493019864,-0.08039035947905959
Jeffery Wilson,RB,15,9.940001,6.4541254,-0.006882416437305083,-0.10323624655957625
Clyde Edwards-Helaire,RB,10,9.83,8.098648,-0.011534457631982409,-0.11534457631982409
Zonovan Knight,RB,6,9.466666,6.0477724,-0.0201457683812033,-0.1208746102872198
Tyler Conklin,TE,16,8.0125,6.436505,-0.007775932636435778,-0.12441492218297245
Mike White,QB,4,14.1449995,7.8652067,-0.03761384424814279,-0.15045537699257117
Jahan Dotson,WR,11,10.945454,7.647027,-0.015010638785103725,-0.16511702663614097
Rondale Moore,WR,8,10.9875,7.6125617,-0.021125499191419927,-0.16900399353135942
Isaiah Hodgins,WR,9,11.133333,5.886142,-0.019747606844145393,-0.17772846159730854
Kyle Pitts,TE,10,7.5600004,5.0225887,-0.018613304389209717,-0.18613304389209717
Irv Smith,TE,7,7.2571425,4.2694454,-0.027007137201146003,-0.18904996040802202
Khalil Herbert,RB,12,9.325,8.145564,-0.018033274557382684,-0.2163992946885922
Shane Zylstra,TE,7,5.857143,8.339896,-0.03185885204879929,-0.22301196434159504
Tyler Allgeier,RB,15,9.726667,5.9865923,-0.015223923314384047,-0.2283588497157607
Benny Snell,RB,3,6.233333,5.6061473,-0.07750973457162391,-0.23252920371487174
Marlon Mack,RB,5,7.66,6.813105,-0.04833425956700871,-0.24167129783504354
Deshaun Watson,QB,5,13.595999,5.442873,-0.04901120509158352,-0.2450560254579176
Allen Lazard,WR,14,11.478571,4.6884627,-0.017508364428375167,-0.24511710199725234
Greg Dortch,WR,10,10.660001,7.362499,-0.02476741426097312,-0.2476741426097312
Royce Freeman,RB,3,6.1,0.9273618,-0.091317583518076,-0.273952750554228
Jimmy Garoppolo,QB,11,14.98,5.5935287,-0.025389660063085295,-0.27928626069393825
Pierre Strong,RB,4,6.8,6.288481,-0.07223968232753236,-0.28895872931012945
Cam Akers,RB,14,8.964286,9.014719,-0.020664431819621354,-0.28930204547469895
Trey McBride,TE,8,6.8,5.8215113,-0.03636455695754032,-0.29091645566032254
Carson Wentz,QB,8,14.1,9.310843,-0.03657887189030995,-0.2926309751224796
Albert Okwuegbunam,TE,5,5.1,5.0632005,-0.05923992035231207,-0.29619960176156035
Brian Robinson,RB,12,9.391666,5.197188,-0.02472104729641378,-0.29665256755696534
Ross Dwelley,TE,4,4.875,4.1697574,-0.07868866369977395,-0.3147546547990958
Rachaad White,RB,15,9.306667,5.4746037,-0.02107948848663499,-0.31619232729952484
Marcus Mariota,QB,13,15.120001,5.541441,-0.024700520171293927,-0.32110676222682105
Samaje Perine,RB,15,9.259999,8.210709,-0.02182561514474085,-0.32738422717111276
Cade Otton,TE,13,7.0461535,4.7525887,-0.025347319880354102,-0.32951515844460333
Melvin Gordon,RB,10,8.710001,5.4749336,-0.033676547901785536,-0.33676547901785536
Elijah Mitchell,RB,4,6.5249996,2.064431,-0.08686273985627224,-0.34745095942508897
Rashod Bateman,WR,6,8.916667,6.7447305,-0.05871990632781526,-0.3523194379668916
Diontae Johnson,WR,16,10.80625,3.9130342,-0.022187502374387158,-0.35500003799019453
Phillip Lindsay,RB,3,4.933333,3.4653842,-0.12057800745428127,-0.3617340223628438
Josh Palmer,WR,15,10.626666,7.3780274,-0.025492074134631948,-0.3823811120194792
D'Onta Foreman,RB,15,8.28,9.531295,-0.025587897356742717,-0.38381846035114076
Joe Flacco,QB,4,10.67,11.053845,-0.09680401842741743,-0.3872160737096697
Brandin Cooks,WR,12,10.333333,3.823902,-0.03292938312515292,-0.39515259750183507
Damien Harris,RB,10,8.469999,5.211344,-0.0403400823016023,-0.403400823016023
Adam Thielen,WR,16,10.675,5.8839293,-0.02557623363599848,-0.4092197381759757
Kenyan Drake,RB,11,8.018182,8.132182,-0.03746487692074124,-0.41211364612815365
Tony Jones,RB,3,3.4666665,1.6759739,-0.13875425284957416,-0.41626275854872247
Luke Farrell,TE,3,1.9666666,0.49888766,-0.13926243908811198,-0.41778731726433593
Stone Smartt,TE,3,1.9,0.294392,-0.13985952157625908,-0.41957856472877725
Donald Parham,TE,5,4.78,3.2688837,-0.08391779953027345,-0.41958899765136726
Armani Rogers,TE,4,3.4500003,1.4115595,-0.10622758771709206,-0.42491035086836826
Daniel Bellinger,TE,11,6.818182,3.5908515,-0.03883474391508346,-0.42718218306591804
Darrynton Evans,RB,3,3.5666664,2.9634814,-0.14252393769724736,-0.4275718130917421
Jelani Woods,TE,11,6.5727277,5.507035,-0.03919459673831549,-0.4311405641214704
Wan'Dale Robinson,WR,6,8.599999,6.346127,-0.07472879708538238,-0.4483727825122943
James Robinson,RB,11,8.054546,7.529501,-0.04132530005728435,-0.4545783006301279
Devin Asiasi,TE,3,0.8333333,1.1785114,-0.15341015857383683,-0.4602304757215105
Derek Carr,QB,15,14.605333,6.1147013,-0.030801823088341174,-0.4620273463251176
Eno Benjamin,RB,11,8.118181,6.061775,-0.04222616337318519,-0.46448779710503707
Curtis Samuel,WR,16,10.99375,6.1216283,-0.0295385583685695,-0.472616933897112
Jalen Nailor,WR,4,5.675,7.12614,-0.11921268808324914,-0.47685075233299656
Julius Chestnut,RB,3,2.7666664,1.1841545,-0.16072124097690493,-0.4821637229307148
Corey Clement,RB,3,2.6999998,0.6377042,-0.16246139406616628,-0.4873841821984988
Malik Davis,RB,5,6.5,1.8493241,-0.09769138898195462,-0.4884569449097731
Richard Rodgers,TE,3,0.46666667,0.65996635,-0.1649583132735839,-0.4948749398207517
Marcedes Lewis,TE,6,4.433333,3.6132472,-0.08347637986939194,-0.5008582792163516
Noah Fant,TE,16,7.2875004,4.2392325,-0.03166232321799867,-0.5065971714879787
Tyler Kroft,TE,4,2.425,0.8437268,-0.12709859169813853,-0.5083943667925541
Desmond Ridder,QB,3,7.6200004,1.5764097,-0.1701381811874833,-0.5104145435624499
Nico Collins,WR,10,9.71,3.1655803,-0.05123559405395284,-0.5123559405395284
Laquon Treadwell,WR,3,3.3999999,1.8384776,-0.17356337122350152,-0.5206901136705046
Tyler Boyd,WR,15,10.468,7.077283,-0.03495326456738462,-0.5242989685107693
Bailey Zappe,QB,4,9.91,5.202625,-0.13263284542949394,-0.5305313817179758
Ryan Tannehill,QB,12,13.7699995,5.9022903,-0.04485852415595781,-0.5383022898714938
Gus Edwards,RB,8,7.2125,5.3617716,-0.06733455281925432,-0.5386764225540346
Dwayne Washington,RB,3,1.8333334,0.4496913,-0.18137869446066401,-0.544136083381992
Donovan Peoples-Jones,WR,16,10.05625,5.5157695,-0.03406285659981467,-0.5450057055970348
D'Ernest Johnson,RB,3,1.8000002,0.8602326,-0.1821968302845144,-0.5465904908535432
Sam Ehlinger,QB,3,7.0533333,0.73108745,-0.18265717307844342,-0.5479715192353303
Courtland Sutton,WR,14,10.507142,5.6876388,-0.03923614835002309,-0.5493060769003233
Rashid Shaheed,WR,10,9.34,4.8697433,-0.054976331586509,-0.54976331586509
Nick Vannett,TE,4,1.925,0.36314598,-0.13795178641611583,-0.5518071456644633
David Johnson,RB,3,1.4333334,1.7249799,-0.18692277218835984,-0.5607683165650795
Lawrence Cager,TE,5,3.1799998,3.2756069,-0.11379692853272405,-0.5689846426636203
Trevon Wesco,TE,4,1.6500001,1.1926861,-0.1423212871892443,-0.5692851487569772
Jordan Wilkins,RB,4,3.675,2.6508253,-0.14393416015353078,-0.5757366406141231
D.J. Chark,WR,10,9.379999,6.802617,-0.058024094497905576,-0.5802409449790558
Russell Wilson,QB,14,14.474286,6.3738365,-0.04153618300677847,-0.5815065620948986
Stephen Sullivan,TE,4,1.6500001,1.7951324,-0.14614939395130766,-0.5845975758052306
Russell Gage,WR,12,9.425,7.535596,-0.04948882398872273,-0.5938658878646728
Darrell Henderson,RB,10,7.35,4.0063076,-0.059547530816815186,-0.5954753081681519
Chris Evans,RB,4,3.2,2.9495764,-0.14888538488568748,-0.5955415395427499
Foster Moreau,TE,13,6.5384607,3.4823818,-0.04593115364628558,-0.5971049974017126
Racey McMath,WR,3,2.0,2.0992064,-0.19951152678740536,-0.5985345803622161
Samori Toure,WR,4,4.8,3.7529986,-0.15000525447501284,-0.6000210179000514
Devine Ozigbo,RB,3,0.56666666,0.518545,-0.20024067760116948,-0.6007220328035084
Tanner Hudson,TE,6,3.8666668,2.780088,-0.10018534299741094,-0.6011120579844657
Kyle Rudolph,TE,4,1.0,1.0099505,-0.1506289186505806,-0.6025156746023224
Jalen Virgil,WR,4,3.875,5.6680574,-0.15062929871749675,-0.602517194869987
J.D. McKissic,RB,8,6.9750004,3.989596,-0.07549556083163417,-0.6039644866530733
Tyrie Cleveland,WR,3,1.6,2.2627418,-0.20151742183227972,-0.6045522654968392
Taylor Heinicke,QB,9,12.884444,4.709251,-0.06731620509149633,-0.605845845823467
Darnell Mooney,WR,11,9.227273,5.107942,-0.05515836396403989,-0.6067420036044389
Kyle Philips,WR,4,3.95,5.0371127,-0.1534086056148588,-0.6136344224594352
Logan Thomas,TE,12,6.1416664,4.247638,-0.051221665851345466,-0.6146599902161456
Darrel Williams,RB,5,4.22,5.080708,-0.12434484346075769,-0.6217242173037885
Teagan Quitoriano,TE,6,3.1666667,3.3791847,-0.10459157653405005,-0.6275494592043003
Penny Hart,WR,3,1.6666666,0.5906682,-0.21056974490235736,-0.6317092347070721
Darius Slayton,WR,13,9.876923,5.297772,-0.048618872963272386,-0.632045348522541
Jaelon Darden,WR,3,1.6,1.3928388,-0.21072877147172653,-0.6321863144151796
Grant Calcaterra,TE,5,2.6200001,1.953868,-0.12669169253274182,-0.6334584626637091
Quintin Morris,TE,6,3.3999999,2.8017852,-0.10614456619077461,-0.6368673971446477
Brandon Johnson,WR,4,4.05,3.6342125,-0.15941029773671966,-0.6376411909468787
Josh Reynolds,WR,11,9.209091,6.6830115,-0.05823099931724235,-0.6405409924896659
Colt McCoy,QB,4,8.2,4.6094685,-0.1601641680232596,-0.6406566720930384
Lil'Jordan Humphrey,WR,3,1.3333334,0.94633794,-0.21406646569414067,-0.642199397082422
Hunter Henry,TE,15,6.246667,4.8641367,-0.043075898065789986,-0.6461384709868498
Tyler Huntley,QB,5,10.004001,3.9436307,-0.12950946341357256,-0.6475473170678627
Andy Isabella,WR,3,1.4,0.92014486,-0.21794067488289465,-0.6538220246486839
James Mitchell,TE,7,3.8,2.293469,-0.09405411608474523,-0.6583788125932166
Richie James,WR,14,9.892858,6.2127137,-0.047108707643541414,-0.6595219070095798
Keith Kirkwood,WR,3,1.2666668,0.9843216,-0.2204174062252443,-0.6612522186757329
Juwann Winfree,WR,3,0.90000004,1.2727922,-0.22062304951107625,-0.6618691485332288
Jordan Akins,TE,14,6.535714,4.369146,-0.047380137210179696,-0.6633219209425157
Miles Boykin,WR,3,1.0333333,0.85764533,-0.22134378993038228,-0.6640313697911469
Isaiah Likely,TE,13,5.6153846,5.176552,-0.051862445277853886,-0.6742117886121005
Connor Heyward,TE,7,3.9571426,2.524088,-0.0969885830848255,-0.6789200815937785
Aaron Rodgers,QB,16,14.25,3.78392,-0.04286176582487561,-0.6857882531980097
Giovanni Ricci,TE,6,3.0,1.5176736,-0.11474232647408611,-0.6884539588445167
Tyrion Davis-Price,RB,4,1.8,1.3546218,-0.1722631600501363,-0.6890526402005452
Trenton Irwin,WR,8,7.625,6.403075,-0.08653467812494353,-0.6922774249995483
Chuba Hubbard,RB,11,7.527273,5.895467,-0.06303910518865802,-0.6934301570752381
Trayveon Williams,RB,4,2.0,1.9274335,-0.1738536058453065,-0.695414423381226
Craig Reynolds,RB,6,5.133333,3.5896456,-0.11596817105340868,-0.695809026320452
Brycen Hopkins,TE,6,2.9833333,2.7199366,-0.11821575987672328,-0.7092945592603397
N'Keal Harry,WR,5,4.58,3.26092,-0.14199304452327033,-0.7099652226163516
Ronald Jones,RB,4,1.4250001,1.7210099,-0.1782234392954416,-0.7128937571817664
Chigoziem Okonkwo,TE,14,6.0,5.1767335,-0.05119866095521097,-0.7167812533729536
Eric Tomlinson,TE,7,3.085714,3.8871322,-0.10280569882648982,-0.7196398917854288
Ihmir Smith-Marsette,WR,3,0.13333334,0.26246694,-0.24004969616836253,-0.7201490885050876
Michael Carter,RB,15,8.233333,4.924587,-0.04868327487011043,-0.7302491230516563
Drake London,WR,16,10.0375,5.7254777,-0.04580249775907547,-0.7328399641452075
Allen Robinson,WR,10,8.49,5.33675,-0.07337220340811679,-0.7337220340811679
Jake Ferguson,TE,10,4.7000003,3.8494153,-0.07355835645063663,-0.7355835645063663
Marcus Johnson,WR,4,3.075,2.5674648,-0.18410126851628772,-0.7364050740651509
MyCole Pruitt,TE,9,4.733333,3.271425,-0.08209701546844228,-0.7388731392159805
Patrick Taylor,RB,4,1.45,0.7889867,-0.1848093785075981,-0.7392375140303924
Peyton Hendershot,TE,9,4.388889,3.3689578,-0.08221707064573702,-0.7399536358116332
Jamison Crowder,WR,4,2.9999998,1.6507576,-0.18644102214648417,-0.7457640885859367
Tyler Davis,TE,5,1.3199999,1.7104386,-0.1497458754006249,-0.7487293770031245
Mike Gesicki,TE,16,5.6,6.5631547,-0.047008510815106486,-0.7521361730417038
Jake Kumerow,WR,4,2.6,2.8948228,-0.19042390577341206,-0.7616956230936482
Pharaoh Brown,TE,7,3.3857143,1.909696,-0.10922469603825763,-0.7645728722678033
Kevin White,WR,4,2.35,3.0277882,-0.19130353183102267,-0.7652141273240907
Nick Mullens,QB,3,2.7733335,2.6485384,-0.25528262873366236,-0.7658478862009871
Robert Tonyan,TE,16,6.63125,4.6787705,-0.04799529234532751,-0.7679246775252402
Salvon Ahmed,RB,5,2.7000003,3.8507142,-0.15384535740038474,-0.7692267870019237
Chris Conley,WR,4,2.15,2.1914608,-0.19320144865125544,-0.7728057946050217
Ke'Shawn Vaughn,RB,4,1.1999999,0.7582875,-0.19358343192137506,-0.7743337276855002
Tom Kennedy,WR,5,4.4199996,2.2648618,-0.15496068326247425,-0.7748034163123713
Andre Baccellia,WR,4,2.475,0.775806,-0.19470180494721,-0.77880721978884
Cody Hollister,WR,4,2.1,2.215852,-0.195931686249477,-0.783726744997908
Cole Beasley,WR,4,2.375,1.0662434,-0.19638846218757622,-0.7855538487503049
Cole Turner,TE,5,0.86,1.72,-0.15806121386625194,-0.7903060693312597
Gardner Minshew,QB,5,7.364,9.088291,-0.15834347907476587,-0.7917173953738293
Stephen Anderson,TE,5,0.78000003,1.0665834,-0.15858412015638634,-0.7929206007819317
Matthew Stafford,QB,9,12.042222,3.9082298,-0.08867502385918835,-0.7980752147326952
Dontrell Hilliard,RB,11,7.0181823,5.9022055,-0.07261866084864238,-0.7988052693350662
Mike Thomas,WR,4,1.95,1.970406,-0.19986208057659893,-0.7994483223063957
Mitchell Trubisky,QB,7,10.554285,4.177254,-0.11454718843030393,-0.8018303190121274
Demetric Felton,RB,4,0.6,0.6363961,-0.20083463359054932,-0.8033385343621973
Van Jefferson,WR,9,7.755555,3.9676778,-0.08935177337114797,-0.8041659603403317
Mitchell Wilcox,TE,9,4.1000004,3.7771242,-0.0895624859856215,-0.8060623738705934
Brock Wright,TE,12,5.2999997,4.8578115,-0.06726376914611554,-0.8071652297533864
Brock Purdy,QB,8,10.804999,8.36211,-0.1012399049188889,-0.8099192393511112
Chris Myarick,TE,7,2.785714,2.1483738,-0.11676096094811578,-0.8173267266368105
Kevin Harris,RB,5,2.24,3.2506,-0.16385053143604006,-0.8192526571802003
Cameron Brate,TE,9,4.1555557,2.6771092,-0.09137927947368651,-0.8224135152631786
Teddy Bridgewater,QB,5,7.604,6.920629,-0.16629263574125064,-0.8314631787062532
Chris Manhertz,TE,6,1.7000002,1.2396235,-0.13986677444956042,-0.8392006466973625
Travis Homer,RB,8,5.3875,3.9030237,-0.10543543396447441,-0.8434834717157953
Deon Jackson,RB,11,6.1363635,8.161136,-0.07670546667093603,-0.8437601333802963
Treylon Burks,WR,10,8.219999,4.746957,-0.08447093730173155,-0.8447093730173155
Matt Ryan,QB,12,12.939999,6.8021812,-0.07081841703944303,-0.8498210044733163
Snoop Conner,RB,5,2.04,2.8422525,-0.1700487947768614,-0.8502439738843071
Jameson Williams,WR,5,3.02,4.3268466,-0.17111958856809129,-0.8555979428404564
Tim Jones,WR,4,1.5,1.0700467,-0.21435100293265058,-0.8574040117306023
Hassan Haskins,RB,6,3.7333333,1.9507833,-0.14300700177612535,-0.8580420106567521
C.J. Uzomah,TE,12,4.6833334,4.2292304,-0.07177489069974968,-0.8612986883969962
Mack Hollins,WR,16,9.416249,7.0707116,-0.05394089617289333,-0.8630543387662932
Ashton Dulin,WR,7,6.071429,3.6780093,-0.12388178290558804,-0.8671724803391163
Tylan Wallace,WR,4,1.275,0.75952286,-0.2177932875793681,-0.8711731503174724
Tre'Quan Smith,WR,8,6.3999996,5.340412,-0.10901756999890361,-0.8721405599912289
Dyami Brown,WR,7,4.6857147,8.149571,-0.1250282778957738,-0.8751979452704166
Jonathan Williams,RB,6,3.3500001,2.510478,-0.14644743466381982,-0.8786846079829189
Bryan Edwards,WR,4,1.125,0.7189402,-0.22226865741564172,-0.8890746296625669
Isaiah Spiller,RB,5,1.68,1.7045821,-0.1787475130225325,-0.8937375651126624
Colby Parkinson,TE,13,4.8076925,4.1971536,-0.06904868392428137,-0.8976328910156579
Tre' McKitty,TE,7,2.457143,1.8653665,-0.12833200607815787,-0.8983240425471051
Austin Hooper,TE,16,5.6000004,4.680679,-0.05646687104917958,-0.9034699367868733
George Pickens,WR,16,9.39375,6.176515,-0.0564743122919345,-0.903588996670952
Anthony Firkser,TE,7,2.4142857,1.2833312,-0.12954159561182843,-0.906791169282799
Romeo Doubs,WR,12,8.466666,5.7865267,-0.07575654421585526,-0.9090785305902631
Brett Rypien,QB,4,4.5049996,3.4359095,-0.2283995618520998,-0.9135982474083992
Andy Dalton,QB,13,12.553846,6.3688345,-0.07142194899764309,-0.9284853369693602
Jordan Mason,RB,7,4.142857,2.3957443,-0.13275139648748513,-0.9292597754123959
John Bates,TE,9,3.4222221,3.712375,-0.10326881899856039,-0.9294193709870435
Andrew Beck,TE,7,1.7,2.49342,-0.13291889058996653,-0.9304322341297657
Joe Fortson,TE,9,3.5333333,3.0180936,-0.10349515950026378,-0.931456435502374
Kareem Hunt,RB,16,7.5625,5.4731016,-0.058563164995673544,-0.9370106399307767
Isiah Pacheco,RB,16,7.6624994,5.237709,-0.058598107808333355,-0.9375697249333337
Will Dissly,TE,15,5.7933335,4.0148835,-0.06266463258884075,-0.9399694888326113
